2021-11-01 16:41:55.509 - Info	Reading mapping directives...
2021-11-01 16:41:55.511 - Verbose	<FileToPath map="PluginAssemblies\**\*.*" to="..\..\Plugins\bin\**" />
2021-11-01 16:41:55.514 - Warning	Map folder 'C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Plugins\bin\' does not exist.
2021-11-01 16:41:55.514 - Verbose	<FileToPath map="WebResources\*.*" to="..\..\Webresources\Webresources\**" />
2021-11-01 16:41:55.514 - Verbose	<FileToPath map="WebResources\**\*.*" to="..\..\Webresources\Webresources\**" />
2021-11-01 16:41:55.568 - Warning	Read-only files will be over-written or deleted.
2021-11-01 16:41:55.577 - Info	
Extracting C:\Users\syed.amanullah\AppData\Local\Temp\tmp31B.zip to C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package

2021-11-01 16:41:55.613 - Info	Skipping localization
2021-11-01 16:41:55.617 - Info	Processing Component: Entities
2021-11-01 16:41:55.620 - Info	 - Account
2021-11-01 16:41:55.625 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\Formulas/account-opendeals.xaml
2021-11-01 16:41:55.628 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\Formulas/account-openrevenue.xaml
2021-11-01 16:41:55.636 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\FormXml\main\{ff49442f-8c60-4877-bdae-8fe51e6f4636}.xml
2021-11-01 16:41:55.638 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\FormXml\main\{b053a39a-041a-4356-acef-ddf00182762b}.xml
2021-11-01 16:41:55.640 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\FormXml\main\{8448b78f-8f42-454e-8e2a-f8196b0419af}.xml
2021-11-01 16:41:55.644 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\RibbonDiff.xml
2021-11-01 16:41:55.645 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Account\Entity.xml
2021-11-01 16:41:55.646 - Info	 - Contact
2021-11-01 16:41:55.647 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Contact\FormXml\main\{894cc46a-b0cb-4ab0-8bf6-200544e46a2d}.xml
2021-11-01 16:41:55.650 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Contact\FormXml\main\{e06af4d1-2812-45c7-a9c2-9fb73fee7bec}.xml
2021-11-01 16:41:55.651 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Contact\RibbonDiff.xml
2021-11-01 16:41:55.653 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\Contact\Entity.xml
2021-11-01 16:41:55.654 - Info	 - msdyn_actual
2021-11-01 16:41:55.654 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\msdyn_actual\RibbonDiff.xml
2021-11-01 16:41:55.657 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\msdyn_actual\Entity.xml
2021-11-01 16:41:55.658 - Info	 - msdyn_customerasset
2021-11-01 16:41:55.659 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\msdyn_customerasset\RibbonDiff.xml
2021-11-01 16:41:55.661 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\PluginTutorCollection\Solution\package\Entities\msdyn_customerasset\Entity.xml
2021-11-01 16:41:55.662 - Info	 - msdyn_iotdevice
